address,databaseID,price,bedrooms,bathroom,sqft,zip,lat,lng,ancherRating,jamesRating
1067-Lantern-Ln-Okeechobee-FL-34974,5e7a34921f19d194c8a02591,349900,3,3,3564,34974,27.0038519,-81.0534285,rich,rich
56351-E-307th-Rd-Monkey-Island-OK-74331,5e7cc775ccaa4a3ba0beb755,690000,4,4,3000,74331,36.570957,-94.856513,unsure,rich
31501-S-Highway-125-8-Monkey-Island-OK-74331,5e7ce6ecccaa4a3ba0beb7fa,679000,3,5,3791,74331,36.6089657,-94.8769014,rich,rich
3515-Rosewood-Dr-Lumberton-NC-28358,5e79a9321f19d194c8a02341,184900,4,3,2039,28358,34.6420747,-79.0010391,rich,rich
105-New-Kent-St-Lumberton-NC-28358,5e79a4e61f19d194c8a0232e,171900,3,3,2151,28358,34.6507315,-79.004219,rich,rich
307-Highland-Ave-Lumberton-NC-28358,5e79a62c1f19d194c8a02333,127000,3,2,1995,28358,34.6429855,-79.004484,medium,medium
4944-Pinedale-Blvd-Lumberton-NC-28358,5e9d83ce590ccc52909b8cf3,125000,2,2,1130,28358,34.6615801,-78.9934866,useless,useless
2139-SW-22nd-Cir-N-Okeechobee-FL-34974,5e7a3e001f19d194c8a025bc,348000,3,2,1777,34974,27.2233971,-80.8503647,rich,rich
1511-Sprunt-Ave-Lumberton-NC-28358,5e9d82b2590ccc52909b8cec,163500,3,2,1552,28358,34.6283085,-78.9914548,unsure,unsure
406-E-3rd-St-Lumberton-NC-28358,5e79aa881f19d194c8a02346,137500,4,3,2490,28358,34.6183732,-79.0040644,medium,unsure
451411-Pheasant-Cir-Afton-OK-74331,5e7ce5d4ccaa4a3ba0beb7f4,676000,3,3,4013,74331,36.5273734,-94.9653204,rich,rich
33010-Mockingbird-Ln-Afton-OK-74331,5e7cbc81ccaa4a3ba0beb71a,675000,3,3,2555,74331,36.5385142,-94.9589241,rich,rich
30022-S-4500-Rd-Cleora-OK-74331,5e7cdf55ccaa4a3ba0beb7d4,655000,3,2,2652,74331,36.5823759,-94.988255,unsure,rich
3501-Hillcrest-Dr-Lumberton-NC-28358,5e9d845b590ccc52909b8cf6,129000,3,--,1536,28358,34.6387941,-78.9931332,useless,useless
1325-Hardin-Rd-Lumberton-NC-28358,5e9d810e590ccc52909b8ce4,139900,3,2,1261,28358,34.6279159,-78.9887825,rich,rich
31501-S-Highway-125-35-Monkey-Island-OK-74331,5e7ce5abccaa4a3ba0beb7f3,650000,3,4,3165,74331,36.6222606,-94.8671147,rich,rich
601-Winona-Ave-Lumberton-NC-28358,5e79a85c1f19d194c8a0233d,83599,2,2,1420,28358,34.6262251,-79.0141111,poor,unsure
31501-S-Highway-125-5-Afton-OK-74331,5e7ce6c6ccaa4a3ba0beb7f9,650000,3,4,3810,74331,36.6222606,-94.8671147,rich,rich
2905-Olsen-Dr-Lumberton-NC-28358,5e79ad4a1f19d194c8a02350,44500,2,1,777,28358,34.6211977,-79.0459336,poor,poor
500-W-28th-St-Lumberton-NC-28358,5e9d84e3590ccc52909b8cf9,125000,3,2,1428,28358,34.6374861,-79.0139787,medium,medium
208-W-21st-St-Lumberton-NC-28358,5e9d8316590ccc52909b8cee,67500,2,1,912,28358,34.6322429,-79.0103134,poor,poor
905-Glenn-St-Lumberton-NC-28358,5e79aa4e1f19d194c8a02345,59900,4,1,1073,28358,34.6265574,-79.0149501,poor,poor
